Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
20250519M197BICANRen29	UWA.7648.CX18.A8	A8	v2	1000 D2M2006	7.1	REN029	M197	5/19/2025	24,552	129	83	22,488	11,473	WatermelonUltra	/bil/lz/boonee/8360b194844e9f0e	Transferred to NAS manually	46	44	Manual	7.311	merfish16				38
20250519M197BICANRen29	UCI.4723.CX13.A8	A8	v2	1000 D2M2006	6.1	REN029	M197	5/19/2025	33,401	32	25	9,163	4,675	WatermelonUltra	/bil/lz/boonee/8360b194844e9f0e		46	44	Manual	7.311	merfish16				38
20250519M197BICANRen29	UCI.2424.CX12.A8	A8	v2	1000 D2M2006	6.2	REN029	M197	5/19/2025	32,143	68	50	18,687	9,534	WatermelonUltra	/bil/lz/boonee/8360b194844e9f0e		46	44	Manual	7.311	merfish16				38
20250519M197BICANRen29	UCI.5224.CX13.A8	A8	v2	1000 D2M2006	8.2	REN029	M197	5/19/2025	38,803	133	82	34,593	17,649	WatermelonUltra	/bil/lz/boonee/8360b194844e9f0e		46	44	Manual	7.311	merfish16				38
20250523M198BICANRen30	UWA.7648.CX41.V1C	V1C	v2	1000 D2M2006	6.1	REN030	M198	5/23/2025	40,278	79	54	21,087	10,759	HoneydewUltra	/bil/lz/boonee/d890cb070c7a58ab 	Transferred to NAS manually	43	40	Manual	6.787	HoneydewUltra, merfish14				39
20250523M198BICANRen30	UCI.4723.CX40.V1C	V1C	v2	1000 D2M2006	4.9	REN030	M198	5/23/2025	29,315	31	26	8,139	4,153	HoneydewUltra	/bil/lz/boonee/d890cb070c7a58ab 		43	40	Manual	6.787	HoneydewUltra, merfish14				39
20250523M198BICANRen30	UCI.2424.CX31.V1C	V1C	v2	1000 D2M2006	4.1	REN030	M198	5/23/2025	32,144	27	23	8,312	4,241	HoneydewUltra	/bil/lz/boonee/d890cb070c7a58ab 		43	40	Manual	6.787	HoneydewUltra, merfish14				39
20250523M198BICANRen30	UCI.5224.CX35.V1C	V1C	v2	1000 D2M2006	8.1	REN030	M198	5/23/2025	44,265	243	121	46,236	23,590	HoneydewUltra	/bil/lz/boonee/d890cb070c7a58ab 		43	40	Manual	6.787	HoneydewUltra, merfish14				39
20250523M199BICANRen31	UWA.7648.CX24.M1C	M1C	v2	1000 D2M2006	8.1	REN031	M199	5/23/2025	36,884	191	107	40,391	20,607	WatermelonUltra	/bil/lz/boonee/62507338d27adc92		47	44	43	7.188	merfish16				40
20250523M199BICANRen31	UCI.4723.CX21.M1C	M1C	v2	1000 D2M2006	5.9	REN031	M199	5/23/2025	32,862	61	45	19,863	10,134	WatermelonUltra	/bil/lz/boonee/62507338d27adc92		47	44	43	7.188	merfish16				40
20250523M199BICANRen31	UCI.2424.CX18.M1C	M1C	v2	1000 D2M2006	6.9	REN031	M199	5/23/2025	30,760	60	45	14,948	7,626	WatermelonUltra	/bil/lz/boonee/62507338d27adc92		47	44	43	7.188	merfish16				40
20250523M199BICANRen31	UCI.5224.CX20.M1C	M1C	v2	1000 D2M2006	8.2	REN031	M199	5/23/2025	39,727	114	75	36,932	18,843	WatermelonUltra	/bil/lz/boonee/62507338d27adc92		47	44	43	7.188	merfish16				40
20250531M200BICANRen32	UWA.7648.CX22.MTC	MTC	v2	1000 D2M2006	7.9	REN032	M200	5/13/2025	22,643	243	135	41,483	21,165	HoneydewUltra	/bil/lz/boonee/842df2d3d57a6648	This one is redone later (Ren72)			37		HoneydewUltra				41
20250531M200BICANRen32	UCI.4723.CX18.MTC	MTC	v2	1000 D2M2006	7.1	REN032	M200	5/13/2025	26,818	142	91	28,589	14,586	HoneydewUltra	/bil/lz/boonee/842df2d3d57a6648				37		HoneydewUltra				41
20250531M200BICANRen32	UCI.2424.CX17.MTC	MTC	v2	1000 D2M2006	6.2	REN032	M200	5/13/2025	25,415	74	56	16,022	8,175	HoneydewUltra	/bil/lz/boonee/842df2d3d57a6648				37		HoneydewUltra				41
20250531M200BICANRen32	UCI.5224.CX16.MTC	MTC	v2	1000 D2M2006	7.9	REN032	M200	5/13/2025	34,332	110	75	34,500	17,602	HoneydewUltra	/bil/lz/boonee/842df2d3d57a6648				37		HoneydewUltra				41
20250615M202BICANRen33	UWA.7648.CX08.A32.02	A32	v2	1000 D2M2006	7.5	REN033	M202	5/22/2025	27110	245	140	41,020	20,928	HoneydewUltra	/bil/lz/boonee/e7eba154eb8aa036						HoneydewUltra				42
20250615M202BICANRen33	UCI.4723.CX04.A32	A32	v2	1000 D2M2006	6.9	REN033	M202	5/22/2025	26064	117	79	40,136	20,477	HoneydewUltra	/bil/lz/boonee/e7eba154eb8aa036						HoneydewUltra				42
